DICE,HDRFDST(0.95),VOLSMTY,MUTINF,MAHLNBS,label,weight,id
0.615515,45.617979,0.987549,0.014919,0.828184,1,0.18114342,15
0.590348,45.287967,0.987474,0.017091,0.771671,2,0.22598389,15
0.302245,35.958309,0.927461,0.000331,1.914047,3,0.0059372997,15
0.228883,25.495098,0.976899,0.000771,2.12872,4,0.023006639,15
0.400677,24.103942,0.954917,0.001492,1.560573,5,0.022643326,15
0.711189,32.526912,0.966608,0.000924,0.802986,6,0.0056217914,15
0.673482,41.303753,0.988228,0.00151,0.786339,7,0.010166391,15
0.767809,28.248894,0.944535,0.001091,0.487344,8,0.005535743,15
0.866966,2.236068,0.947683,0.000276,0.122314,9,0.0011218087,15
0.907975,6.082763,0.984663,0.000287,0.162804,10,0.0010548825,15
0.618589,34.058773,0.945623,0.000607,0.931817,11,0.0043565696,15
0.723881,30.016662,0.98694,0.000335,0.561101,12,0.0017305174,15
0.8,2.828427,0.910092,0.000207,0.380219,13,0.00094652607,15
0.781748,10.0,0.910891,0.000743,0.204223,14,0.0040315,15
0.610056,44.788391,0.9707,0.014877,0.839557,15,0.18635409,15
0.591498,42.871902,0.980168,0.017376,0.769716,16,0.22822751,15
0.500808,31.874755,0.920302,0.000643,1.240672,17,0.0063898475,15
0.215495,25.079872,0.967631,0.000684,2.204263,18,0.021954942,15
0.478548,23.216374,0.932774,0.001638,1.26357,19,0.017356165,15
0.676881,26.11513,0.896854,0.000924,0.917898,20,0.0064249043,15
0.755039,36.728735,0.93865,0.001293,0.538887,21,0.006826461,15
0.774281,26.645825,0.954137,0.000704,0.48909,22,0.0033813608,15
0.543199,34.525353,0.938414,0.000458,1.215846,23,0.003817974,15
0.706131,29.274562,0.934461,0.000291,0.626574,24,0.0016062261,15
0.743802,3.0,0.946281,0.000169,0.515737,25,0.0008126739,15
0.764286,10.392305,0.903061,0.00062,0.327881,26,0.0034259781,15
0.902951,6.082763,0.930679,0.001074,0.16103,27,0.0047931825,15
0.872727,4.123106,0.892154,0.001417,0.161827,28,0.005707839,15
0.896078,4.690416,0.983824,0.001475,0.19492,29,0.0063962215,15
0.927353,3.605551,0.992686,0.000836,0.124612,30,0.0032443216,15
0.780507,44.933284,0.999316,0.023154,0.326405,1,0.17985474,8
0.728231,43.65776,0.990262,0.024815,0.363842,2,0.220679,8
0.637456,16.911535,0.838257,0.000931,0.491757,3,0.006628799,8
0.904162,23.280893,0.998686,0.00623,0.203523,4,0.029312434,8
0.621165,23.579652,0.974926,0.00265,0.822397,5,0.020383555,8
0.666467,27.239677,0.952779,0.000836,0.589064,6,0.005005886,8
0.755535,37.735925,0.969366,0.001788,0.476209,7,0.009708905,8
0.80874,26.925824,0.934733,0.001126,0.401421,8,0.005363041,8
0.685,7.348469,0.785,0.00013,0.806448,9,0.00069430954,8
0.866385,5.830952,0.900141,0.000294,0.275943,10,0.0011171811,8
0.644007,31.416556,0.957066,0.00056,0.768333,11,0.0030572477,8
0.810967,2.828427,0.890332,0.000492,0.379356,12,0.0017629176,8
0.72093,4.242641,0.813953,0.000252,0.506583,13,0.0013114735,8
0.778455,28.106939,0.947098,0.000959,0.384726,14,0.0046915896,8
0.7763,45.088801,0.973026,0.022409,0.321548,15,0.17900328,8
0.730107,43.428102,0.998001,0.025558,0.380295,16,0.2296393,8
0.674718,18.138357,0.917301,0.000953,0.470823,17,0.0058916304,8
0.907187,21.563859,0.98534,0.006387,0.167344,18,0.03045533,8
0.662577,21.587033,0.978408,0.002637,0.689259,19,0.01754346,8
0.776916,27.276363,0.946654,0.001226,0.35139,20,0.006205927,8
0.846295,35.566838,0.993264,0.001602,0.278259,21,0.007045956,8
0.801328,25.651511,0.991939,0.000701,0.347925,22,0.002988674,8
0.668245,32.341923,0.979093,0.000655,0.721327,23,0.0036972696,8
0.72955,3.316625,0.925571,0.000419,0.725836,24,0.0017943472,8
0.634961,4.0,0.971722,0.000214,0.647479,25,0.0011428964,8
0.801277,12.041595,0.964086,0.000819,0.116464,26,0.003451547,8
0.916627,3.162278,0.982169,0.001548,0.09345,27,0.0058230567,8
0.922244,5.385165,0.949311,0.001538,0.110686,28,0.0055116178,8
0.943274,3.0,0.995138,0.001886,0.056778,29,0.0070173834,8
0.927434,3.464102,0.99646,0.000912,0.089174,30,0.0032172531,8
